year,work total,teaching,lesson prep,counselling contact,prof consultation,school supervision,class administration,school policy,formation
male,1,1,1,1,1,1,1,1,1
female,43.4,15.3,13.3,1.1,3.8,1.5,5.9,1.3,1.1
